Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
1,19,CLE,NBA,SG,79,3122,.417,11.2,,.855,.315,.168,.161,.211,.145,,.438,.604,.356,.313,.352,.290,,.442,.746,,.064,91,,.286,.323,,3,0
2,20,CLE,NBA,SF,80,3388,.472,12.1,,.817,.311,.137,.121,.248,.183,,.499,.725,.370,.324,.373,.351,,.445,.500,,.076,126,,.185,.491,,0,0
3,21,CLE,NBA,SF,79,3361,.480,12.4,,.792,.353,.092,.094,.253,.208,,.518,.689,.411,.304,.398,.335,,.303,.417,,.065,114,,.185,.343,,5,0
4,22,CLE,NBA,SF,78,3190,.476,12.2,,.809,.333,.125,.111,.241,.191,,.513,.725,.406,.361,.346,.319,,.321,.495,,.068,108,,.145,.444,,5,1
5,23,CLE,NBA,SF,75,3027,.484,12.2,,.781,.373,.090,.080,.238,.219,,.531,.706,.426,.303,.372,.315,,.333,.398,,.069,109,,.095,.353,,2,0
6,24,CLE,NBA,SF,81,3054,.489,13.4,,.762,.333,.092,.074,.263,.238,,.535,.728,.453,.286,.388,.344,,.318,.424,,.083,128,,.107,.341,,7,0
7,25,CLE,NBA,SF,76,2966,.503,13.4,,.747,.342,.082,.061,.262,.253,,.560,.745,.468,.344,.398,.333,,.369,.341,,.080,117,,.111,.395,,4,0
8,26,MIA,NBA,SF,79,3063,.510,12.7,,.812,.284,.172,.094,.262,.188,,.552,.744,.459,.443,.445,.330,,.284,.609,,.068,98,,.211,.322,,5,1
9,27,MIA,NBA,SF,62,2326,.531,11.5,,.873,.329,.136,.135,.272,.127,,.556,.758,.484,.481,.384,.362,,.360,.519,,.092,104,,.121,.333,,0,0
10,28,MIA,NBA,PF,76,2877,.565,11.2,,.812,.373,.133,.105,.202,.188,,.602,.776,.494,.415,.447,.406,,.378,.553,,.109,144,,.161,.488,,0,0
11,29,MIA,NBA,PF,77,2902,.567,11.4,,.774,.399,.123,.084,.168,.226,,.622,.796,.554,.404,.366,.379,,.395,.534,,.101,134,,.144,.568,,0,0
12,30,CLE,NBA,SF,69,2493,.488,12.6,,.735,.332,.127,.116,.159,.265,,.536,.722,.414,.356,.377,.354,,.315,.467,,.072,88,,.115,.385,,1,0
13,31,CLE,NBA,SF,76,2709,.520,9.6,,.801,.459,.119,.093,.129,.199,,.573,.722,.361,.348,.404,.309,,.378,.598,,.083,111,,.117,.273,,0,0
14,32,CLE,NBA,SF,74,2794,.548,11.0,,.746,.432,.106,.105,.102,.254,,.611,.780,.385,.440,.307,.363,,.355,.492,,.112,145,,.102,.371,,0,0
15,33,CLE,NBA,PF,82,3026,.542,10.9,,.743,.423,.114,.089,.118,.257,,.603,.766,.378,.421,.371,.367,,.301,.356,,.080,120,,.084,.382,,1,0
16,34,LAL,NBA,SF,55,1937,.510,12.3,,.701,.380,.132,.077,.112,.299,,.582,.755,.297,.417,.447,.339,,.340,.342,,.081,85,,.073,.292,,0,0
17,35,LAL,NBA,PG,67,2316,.493,12.9,,.674,.365,.139,.073,.097,.326,,.564,.727,.409,.337,.341,.348,,.234,.473,,.062,79,,.061,.500,,1,0
18,36,LAL,NBA,PG,43,1448,.513,14.1,,.646,.312,.119,.103,.112,.354,,.594,.790,.462,.400,.368,.366,,.324,.525,,.063,46,,.072,.450,,0,0
